	PatID	Archaea
SRR5970972	ST12	0
SRR5970973	ST19	0
SRR5970974	ST16	0
SRR5970975	ST25	0
SRR5970976	ST05	0
SRR5970977	ST13	0
SRR5970978	ST13	0
SRR5970979	SP08	0
SRR5970980	ST12	0
SRR5970981	ST07	0
SRR5970982	ST04	0
SRR5970983	ST11	0
SRR5970984	ST11	0
SRR5970985	ST11	0
SRR5970987	ST05	0
SRR5970988	ST03	0
SRR5970989	ST04	0
SRR5970990	ST12	0
SRR5970991	ST05	0
SRR5970992	ST03	0
SRR5970993	ST18	0
SRR5970994	ST26	0
SRR5970995	ST08	0
SRR5970997	ST09	0
SRR5970998	ST05	0
SRR5970999	ST12	0
SRR5971000	ST19	0
SRR5971001	ST28	1
SRR5971002	ST23	0
SRR5971003	ST19	0
SRR5971004	ST03	0
SRR5971005	ST27	0
SRR5971007	SP03	0
SRR5971008	ST12	1
SRR5971009	SP03	0
SRR5971010	ST30	0
SRR5971011	ST17	0
SRR5971012	ST03	0
SRR5971013	ST07	0
SRR5971014	ST17	0
SRR5971015	ST05	0
SRR5971016	ST23	1
SRR5971018	ST24	0
SRR5971019	ST09	1
SRR5971020	ST05	0
SRR5971021	ST17	0
SRR5971022	ST22	0
SRR5971023	ST07	0
SRR5971024	ST28	0
SRR5971025	ST25	0
SRR5971026	SP08	0
SRR5971027	ST16	0
SRR5971028	ST18	0
SRR5971029	ST15	0
SRR5971030	ST26	0
SRR5971031	SP03	0
SRR5971032	SP08	0
SRR5971033	ST03	0
SRR5971034	ST30	1
SRR5971035	ST11	0
SRR5971036	ST27	0
SRR5971037	ST03	0
SRR5971038	ST05	0
SRR5971039	SP08	0
SRR5971040	ST30	0
SRR5971041	ST04	0
SRR5971042	ST28	1
SRR5971043	ST18	0
SRR5971044	ST13	0
SRR5971045	ST13	0
SRR5971046	ST17	1
SRR5971047	ST23	0
SRR5971048	ST09	0
SRR5971049	ST21	0
SRR5971050	ST23	0
SRR5971051	ST30	0
SRR5971052	ST21	1
SRR5971053	ST26	0
SRR5971054	ST08	0
SRR5971055	ST24	0
SRR5971056	ST18	0
SRR5971057	ST19	0
SRR5971058	ST25	0
SRR5971059	ST13	0
SRR5971060	ST15	0
SRR5971061	ST19	0
SRR5971062	ST22	0
SRR5971063	ST29	0
SRR5971064	ST27	1
SRR5971065	ST22	0
SRR5971066	ST25	0
SRR5971067	ST14	0
SRR5971068	ST17	0
